
Alarm Report
2024-05-06 10:24:07
Location, 1, Y16134

Time,Alarm
2023-06-08 19:22:06,POWER OUTAGE
2023-06-09 06:35:16,MAINTENANCE
2023-06-09 06:48:59,FLOW FAILURE,16.2
2023-06-09 16:55:20,MAINTENANCE
2023-06-09 17:39:11,FLOW FAILURE,16.2
2023-06-22 16:04:37,POWER OUTAGE
2023-06-22 16:05:46,MAINTENANCE
2023-06-22 16:13:58,MAINTENANCE
2024-02-27 14:29:54,POWER OUTAGE
2024-02-27 14:30:58,POWER OUTAGE
2024-02-27 14:33:09,MAINTENANCE
2024-02-28 02:00:10,TAPE BREAK,2
2024-02-28 10:00:10,TAPE BREAK,8
2024-02-28 11:00:07,TAPE BREAK,1
2024-02-28 12:00:07,TAPE BREAK,1
2024-02-28 15:58:35,TAPE BREAK,0
2024-02-28 17:00:10,TAPE BREAK,2
2024-02-28 18:00:07,TAPE BREAK,0
2024-02-28 19:00:07,TAPE BREAK,1
2024-02-29 08:45:44,TAPE BREAK,7
2024-02-29 08:47:13,TAPE BREAK,7
2024-02-29 11:00:10,TAPE BREAK,1
2024-02-29 12:00:07,TAPE BREAK,0
2024-02-29 12:52:47,MAINTENANCE
2024-02-29 18:00:12,TAPE BREAK,11
2024-02-29 18:02:10,MAINTENANCE
2024-02-29 18:29:49,POWER OUTAGE
2024-03-03 17:32:47,POWER OUTAGE
2024-03-04 01:40:11,POWER OUTAGE
2024-03-04 05:08:49,POWER OUTAGE
2024-03-07 01:11:24,POWER OUTAGE
2024-03-07 01:17:07,POWER OUTAGE
2024-03-07 01:38:03,POWER OUTAGE
2024-03-07 02:08:07,POWER OUTAGE
2024-03-07 02:11:19,POWER OUTAGE
2024-03-08 05:55:12,POWER OUTAGE
2024-03-08 10:39:47,POWER OUTAGE
2024-03-09 06:56:50,POWER OUTAGE
2024-03-09 12:24:29,POWER OUTAGE
2024-03-09 14:53:25,POWER OUTAGE
2024-03-09 18:51:37,POWER OUTAGE
2024-03-10 07:14:42,POWER OUTAGE
2024-03-10 18:47:09,POWER OUTAGE
2024-03-11 08:24:56,POWER OUTAGE
2024-03-11 12:12:34,POWER OUTAGE
2024-03-11 12:12:47,POWER OUTAGE
2024-03-11 12:40:49,POWER OUTAGE
2024-03-11 14:31:46,POWER OUTAGE
2024-03-21 16:57:49,POWER OUTAGE
2024-03-25 01:46:16,POWER OUTAGE
2024-03-30 02:00:10,TAPE BREAK,0
2024-03-30 03:00:07,TAPE BREAK,0
2024-03-30 04:00:07,TAPE BREAK,0
2024-04-02 11:37:49,TAPE BREAK,8
2024-04-02 11:38:00,MAINTENANCE
2024-04-22 16:05:14,MAINTENANCE
2024-04-22 16:09:53,POWER OUTAGE
2024-04-23 06:47:14,POWER OUTAGE
2024-04-23 07:49:44,POWER OUTAGE
2024-04-23 17:05:58,DIGITAL LINK DOWN
2024-04-23 17:07:39,DIGITAL LINK DOWN
