
Data Report
2022-07-12 09:15:23
Location, 1, Y16134

Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status
2021-03-01 09:00:00,+099999,+000047,+15.8,+027.4,056,621,+031.5,027,00384
2021-03-01 10:00:00,+075003,+000013,+16.6,+028.5,049,621,+032.5,024,00000
2021-03-01 11:00:00,+000016,+000017,+16.6,+029.9,042,621,+034.6,020,00000
2021-03-01 12:00:00,+000018,+000019,+16.6,+030.6,040,620,+035.3,019,00000
2021-03-01 13:00:00,+000016,+000016,+16.6,+031.2,037,619,+035.8,018,00000
2021-03-01 14:00:00,+000016,+000016,+16.6,+031.8,035,618,+036.5,017,00000
2021-03-01 15:00:00,+000015,+000020,+16.6,+032.2,034,618,+037.6,017,00000
2021-03-01 16:00:00,+000021,+000017,+16.6,+031.6,034,618,+037.3,016,00000
2021-03-01 17:00:00,+000019,+000021,+16.6,+030.6,036,618,+036.3,017,00000
2021-03-01 18:00:00,+000020,+000019,+16.7,+029.1,041,618,+033.9,020,00000
2021-03-01 19:00:00,+000021,+000021,+16.6,+028.0,046,619,+032.1,023,00000
2021-03-01 20:00:00,+000027,+000025,+16.6,+027.2,051,620,+031.3,025,00000
2021-03-01 21:00:00,+000025,+000024,+16.6,+026.9,054,620,+030.9,027,00000
2021-03-01 22:00:00,+000020,+000019,+16.6,+026.2,061,621,+030.3,029,00000
2021-03-01 23:00:00,+000012,+000012,+16.6,+025.4,066,621,+029.5,031,00000
2021-03-02 00:00:00,+000014,+000013,+16.6,+025.0,070,621,+029.2,032,00000
2021-03-02 01:00:00,+000011,+000016,+16.7,+024.6,073,621,+028.8,034,00000
2021-03-02 02:00:00,+000012,+000012,+16.7,+024.1,077,620,+028.4,035,00000
2021-03-02 03:00:00,+000013,+000012,+16.6,+023.4,080,620,+027.5,036,00000
2021-03-02 04:00:00,+000016,+000016,+16.6,+022.6,086,620,+026.8,038,00000
2021-03-02 05:00:00,+000015,+000021,+16.6,+022.1,092,621,+026.2,040,00000
2021-03-02 06:00:00,+000023,+000021,+16.6,+021.1,098,621,+025.8,042,00000
2021-03-02 07:00:00,+000025,+000022,+16.6,+021.7,098,621,+025.8,044,00000
